customer_identifier,customer_email,customer_name,term_start,term_end,status,billing_period,billing_interval,amount_per_period,customer_created,tax_inclusive,tax_rate
ac5f367a-e746-4a88-a73b-a85467a3e7bf,aquest0@discuz.net,Aggie Quest,18-02-2021,18-12-2021,ACTIVE,DAY,1,100,18-02-2021,no,10
baaeb09a-b7f3-4863-909f-42bd4a4044b8,ppettican1@livejournal.com,Peria Pettican,03-12-2019,17-09-2020,DELINQUENT,WEEK,2,1200,03-12-2019,no,10
209d5298-c653-48c7-9fe7-23331a312a3a,ftyhurst2@yahoo.com,Frederick Tyhurst,27-10-2020,18-03-2021,CHURNED,MONTH,3,5000,27-10-2020,yes,10
289d5ab3-2add-4477-9e99-e1ecfefe7e12,rvasiliu3@engadget.com,Raf Vasiliu,17-02-2019,03-06-2019,INELIGIBLE,YEAR,1,20000,17-02-2019,yes,10
8c4d4513-07c5-4c67-a8f2-32f5e2260142,acashford4@ibm.com,Avivah Cashford,08-05-2019,30-01-2020,ACTIVE,YEAR,1,20000,08-05-2019,no,10
93d411d2-e596-480f-8af4-997c6d9d2dd9,berasmus5@umich.edu,Bill Erasmus,02-08-2020,16-07-2021,DELINQUENT,DAY,1,100,02-08-2020,yes,10
833c1809-970e-47e8-8ed0-725d1c024eb7,vjuarez6@typepad.com,Vernice Juarez,27-08-2021,20-12-2021,CHURNED,YEAR,1,20000,27-08-2021,yes,10
7084c8eb-9987-4496-b964-801d879d4a7f,rodam7@vk.com,Ralf Odam,01-01-2021,05-08-2021,INELIGIBLE,MONTH,1,2000,01-01-2021,no,10
a0af0849-a7bf-470b-90bb-d0984c33fdf6,pnovotne8@hao123.com,Perceval Novotne,11-03-2021,21-10-2021,ACTIVE,MONTH,3,5000,11-03-2021,yes,10
1f0aac83-f663-42dc-b3a1-e92ece87772d,csheryn9@so-net.ne.jp,Calley Sheryn,13-04-2020,03-07-2020,DELINQUENT,DAY,1,100,13-04-2020,no,10
e675b051-f5f9-47a0-a20e-b722bb370194,tmacgillaverya@pbs.org,Thaine MacGillavery,15-07-2019,09-11-2019,CHURNED,DAY,1,100,15-07-2019,yes,10
3639f1ea-6d9b-4d41-a476-037e002cd645,wbarkeb@chron.com,Werner Barke,14-01-2021,05-10-2021,INELIGIBLE,YEAR,1,20000,14-01-2021,yes,10
1da543df-53e1-4355-b32d-e19004fe9e7c,bbygottc@elegantthemes.com,Bruis Bygott,01-12-2019,02-03-2020,ACTIVE,YEAR,1,20000,01-12-2019,no,10
b2bb6f65-45d3-4b13-b24e-e03269f5ff7e,ctampend@netvibes.com,Cecelia Tampen,18-09-2021,15-09-2022,DELINQUENT,YEAR,1,20000,18-09-2021,no,10
66863777-b7b7-4af5-a6f7-2c5a412c4f28,lleimstere@indiegogo.com,Lennie Leimster,25-02-2020,13-02-2021,CHURNED,DAY,1,100,25-02-2020,yes,10
47c015b1-9142-4e27-a5af-d272e4d0d037,mloveguardf@yandex.ru,Meir Loveguard,03-06-2021,14-02-2022,INELIGIBLE,MONTH,3,5000,03-06-2021,no,10
03be5df6-9d6f-4179-8cc0-5744ff4be908,nlambellg@360.cn,Nanny Lambell,16-09-2019,17-03-2020,ACTIVE,WEEK,2,1200,16-09-2019,yes,10
2292802b-c5e9-4b8c-9dd9-7c4d7fa96da2,hortigah@sciencedaily.com,Halsy Ortiga,13-12-2020,25-07-2021,DELINQUENT,DAY,1,100,13-12-2020,no,10
deab148c-d9b3-4eb7-823a-cb7e5292570a,ijaquemineti@amazon.de,Ilysa Jaqueminet,19-03-2020,28-02-2021,CHURNED,YEAR,1,20000,19-03-2020,no,10
7f93bddc-884d-4286-8414-0e97abbb3e09,sosbaldestonj@4shared.com,Stafani Osbaldeston,25-12-2020,07-03-2021,INELIGIBLE,YEAR,1,20000,25-12-2020,no,10
68f4b89c-25a8-43cb-aa9d-a43ad0ce95ba,oemanuelik@noaa.gov,Ortensia Emanueli,09-02-2021,23-12-2021,ACTIVE,MONTH,1,2000,09-02-2021,yes,10
0d40a132-78f1-4750-ada7-7de8e68d5f30,vgridleyl@timesonline.co.uk,Vale Gridley,03-12-2019,20-03-2020,DELINQUENT,DAY,1,100,03-12-2019,no,10
dde905da-1049-4544-949e-f92a01ece90f,mnormavellm@ovh.net,Mariquilla Normavell,27-08-2021,17-04-2022,CHURNED,YEAR,1,20000,27-08-2021,no,10
4d2c18a7-38ac-4d61-9083-f175f43539eb,clorencen@edublogs.org,Charyl Lorence,01-02-2019,14-04-2019,INELIGIBLE,YEAR,1,20000,01-02-2019,no,10
d67d3550-e5a5-44d3-94ff-ab7b2ccb66e1,lglaspero@weibo.com,Linnet Glasper,06-11-2020,15-06-2021,ACTIVE,MONTH,1,2000,06-11-2020,yes,10
cc9637b9-a06b-42e3-8374-00d9475b716e,ewinterbornep@ebay.com,Eli Winterborne,28-02-2021,21-05-2021,DELINQUENT,WEEK,2,1200,28-02-2021,no,10
fd2dfcc4-4788-435f-acaa-b059905674f7,wbramstomq@delicious.com,Witty Bramstom,20-01-2019,11-08-2019,CHURNED,MONTH,3,5000,20-01-2019,yes,10
